code,name,g_per_piece,01_price,02_price,03_price,04_price,05_price,06_price,07_price,08_price,09_price,10_price,11_price,12_price
30000,野菜総量,,235,231.9,230.8,234.7,229.9,234.3,242.5,245.6,250,227.1,209.4,218.9
30100,だいこん,1000,93.3,93.6,87.7,89.1,90.3,95.9,104,113.2,116.1,101.5,72.4,65.5
30200,かぶ,80,159.4,157.8,151.1,144.3,142.4,137.2,168.7,197.6,191.8,158,133.5,124.1
30300,にんじん,170,122.4,125,153.6,151.5,130.3,128.8,161.4,136.8,159,150,134,122.6
30400,ごぼう,150,301.3,303.9,323.2,345.7,359.2,358.9,324,311.1,294.3,259.8,221.1,281.4
30500,たけのこ,200,1605,1597.8,1168.2,419.6,461.9,398.4,559.7,453.2,472.1,1296.4,1737.3,1912.3
30600,れんこん,180,443.8,459.7,479.8,599.3,701.6,1148.1,808.9,521,428.9,381.8,375.3,438.2
31100,はくさい,2000,66,69.4,81.6,82,73.7,72.8,78.2,107.2,105.9,82.1,58.5,47.8
31310,みず菜,200,481.8,388.1,278.2,284.9,265.3,315,431.2,465.5,474.5,466.5,378.8,421.2
31500,こまつな,300,456.2,384.8,231,277.5,236.3,259.4,299.7,333.5,407.6,336.9,251.7,314
31550,その他の菜類,,418.6,397.5,315,334.7,337.9,418.2,474.2,528.1,535.9,427.3,337.9,353
33810,チンゲンサイ,100,370.9,352.8,248.2,276.7,265.4,266.2,330.7,369.6,429.6,335,285.4,289.3
31700,キャベツ,1200,102.3,104.3,88.8,98.5,89.5,89.1,88.6,104.7,96.1,91,82.8,69.3
31800,ほうれんそう,200,598.8,485.3,397.6,501.5,468.6,520.2,696.5,893.9,915,675,487.7,482.1
31900,ねぎ,100,397.1,395.9,356.1,373.8,453.5,453,457.3,466.4,472,456.4,375.9,380.3
32300,ふき,100,340.5,428.1,382.7,397.6,320.2,277.2,277.6,262.4,578.4,594.5,306.7,312.1
32400,うど,1200,632.2,581.4,613.8,634.8,549.2,695.7,702.3,606.3,700,874.4,766.5,780.1
32500,みつば,40,839.9,562.5,452.2,418.2,426,410.6,527.2,731.2,859,641.5,513.7,978.1
32600,しゅんぎく,200,719.5,599.5,456,633.3,587.1,567.7,870.1,1268.6,1354.5,885,555.8,708.5
32800,にら,100,1025.6,881.1,568.4,504.4,439.6,481.1,601,766.6,851.2,803.2,810.5,870.8
32900,セルリー,100,210.2,227.8,270.7,288.9,309.5,280.4,270.2,322.2,321.2,259.5,247.5,190
33100,アスパラガス,100,1581.4,1093.4,1247.8,1530.1,1571.6,1296.1,1057.3,923.2,1037.4,993.5,1063.8,1328.6
33101,うち輸入,,1374.2,745.4,686.1,909.5,1073.5,1083.8,1233.5,1391.5,1316.2,1003.8,1059.3,1275.4
33200,カリフラワー,500,237.6,242.5,228.2,258.3,221,273.4,310.8,365.8,340.8,260,215.5,210.4
33300,ブロッコリー,250,406.7,380.4,316.2,450.6,370.8,450.2,396.9,480.1,573.6,481.2,351.1,319.2
33301,うち輸入,,382.5,367.2,339.1,379.1,386.2,408.6,415.1,420.3,440.3,445,425.2,410.2
33400,レタス,300,254.3,232.2,172.7,175.4,165.7,142,148.2,194.9,216.2,183.4,166.4,180.5
33600,パセリ,20,1281.4,1010.1,746.6,784,1149.1,1033.9,1158.7,1837.2,2283.8,2453.9,1522.4,1544.9
34100,きゅうり,100,441.5,394.5,312.4,259.3,240.7,253.8,305,351.3,351.7,374.4,321.5,458.7
34200,かぼちゃ,1200,219.9,230.3,210.1,248.6,252.5,222.3,226.4,223.4,189.7,184.8,201,231.6
34201,うち輸入,,183.6,189.9,167.8,212.1,209.5,160,142.1,166.4,186.4,420.1,269.7,195
34300,なす,80,441.1,464.7,397,382.5,362.6,354.4,348.2,330.7,385.2,369.6,402.7,436.3
34400,トマト,170,324.8,358.2,379.5,355.8,275.9,285.4,325.6,352.8,500.9,545.3,484.1,377.1
34460,ミニトマト,200,585.7,671.5,674,577.3,448,482.5,631.4,674.6,891.4,937.9,758.4,542.9
34500,ピーマン,35,639.8,739.2,604.5,492.7,385.7,410.5,441.1,438,482.6,476,422,427.7
34600,ししとう,100,1754.9,1636.9,1516.1,1546.4,1279,1131.6,1057.2,1187,1216.2,1294.6,1378.8,1952.5
34700,とうもろこし,350,366.8,416.8,463.8,505.6,447.2,289.6,238,245.1,235.6,279.2,348,338.8
35100,さやいんげん,100,917.7,940.1,850.6,962.2,892.6,840.7,924.6,1169.9,1257.5,1088.6,856.7,899.6
35200,さやえんどう,35,1073.7,1206,1077.2,1138,1125.5,1246.6,1632.4,2251.8,2461.3,2135.2,1307,1190
35201,うち輸入,,639,698.2,748.9,684.5,629.2,589,645.4,848.1,1047.6,988.5,885.8,703.6
35300,ピース,300,847.2,944.8,961.3,913.1,869.4,784.2,817.9,534.7,615.8,823,1065,802.2
35400,そらまめ,320,717.6,888.5,724.5,546.6,469.5,477.9,639,807,834,845.1,1010.7,774.6
35500,えだまめ,250,2304.8,2302.4,1704.9,996.4,1360.6,1012.9,766.2,733.8,749.2,862.8,1136.4,1706.5
36100,かんしょ,250,263.1,253.7,262.8,268.9,319.5,327.8,300.7,295,267.6,278.2,269.3,260.2
36200,ばれいしょ,150,147.6,160.2,168.4,194.3,179.3,154.3,170.7,153.3,133.2,121.7,124.7,129.3
36300,さといも,400,303.2,299.8,283.2,291.9,417.3,514.6,437.2,379.9,334.7,312.7,286.8,332.2
36510,やまといも,500,332.1,331.4,334.2,327.9,342.3,339.2,351.8,387.8,384.7,370.5,360.5,354.8
36600,たまねぎ,200,119.4,125.1,125.7,121.8,113.5,110,118.7,113.2,101,99.8,114.8,120.9
36620,うち輸入,,111.6,115,116.5,125.4,132.3,115,109.8,107.1,105.3,104.7,107.4,111.8
36700,にんにく,15,952.8,979,966.3,1040.2,939.5,920.4,925.7,904.5,923.6,958.3,969,955.7
36701,うち輸入,,346.1,346.7,347.7,343.9,350.1,345.7,363,367.7,365.5,362.9,365.9,369.3
37200,しょうが,80,634.1,640.6,724.6,790.6,831.9,718.5,602.7,590.3,576.1,578,605.8,627.3
37201,うち輸入,,363.2,372.8,375.9,376.3,378.1,379.2,385.8,393.3,386.7,385.4,385.4,384.1
38100,生しいたけ,100,1097.4,988.4,871.2,846.2,884.4,825.6,811.6,872.3,968.5,987.6,967.1,1090.6
